id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
121,Denmark,Northern,Europe,EUROPE,235918,298278,372128,423167,509751,616741,718856,847475
122,Estonia,Northern,Europe,EUROPE,381997,315755,249512,233701,217890,194664,199277,203046
123,Faroe,Islands,Northern,Europe,EUROPE,4285,2900,3593,4583,5096,5485,6812
124,Finland,Northern,Europe,EUROPE,63255,99729,136203,192169,228481,314856,386052,514432
125,Iceland,Northern,Europe,EUROPE,9584,12738,15892,25492,35091,39072,65424,98818
126,Ireland,Northern,Europe,EUROPE,227783,247379,376321,620579,751381,802470,951686,1216237
127,Isle,of,Man,Northern,Europe,EUROPE,34769,36886,39002,41475,43447,42238
128,Latvia,Northern,Europe,EUROPE,646007,538093,430178,376725,313786,265418,239422,220471
129,Lithuania,Northern,Europe,EUROPE,349258,273587,214311,201209,160772,136021,145184,175194
130,Norway,Northern,Europe,EUROPE,192587,233302,292440,361144,524601,746375,852238,1012404
131,Sweden,Northern,Europe,EUROPE,784283,944802,1022156,1126971,1372074,1638195,2033902,2272158
132,United,Kingdom,Northern,Europe,EUROPE,3664896,4173053,4747902,5989992,7713303,9071431,10520870
133,Albania,Southern,Europe,EUROPE,66013,71354,76695,64739,52784,52031,48810,46377
134,Andorra,Southern,Europe,EUROPE,38891,44206,42147,50298,52053,42264,45574,48408
135,Bosnia,and,Herzegovina,Southern,Europe,EUROPE,56000,69476,82952,47287,38945,38597
136,Croatia,Southern,Europe,EUROPE,475438,674085,585298,579273,573248,561093,528056,527831
137,Gibraltar,Southern,Europe,EUROPE,8709,8381,8054,9211,10369,11065,11190,11291
138,Greece,Southern,Europe,EUROPE,618139,857850,1111665,1190707,1321149,1242924,1340456,1423964
139,Holy,See,Southern,Europe,EUROPE,726,705,691,659,621,572,528
140,Italy,Southern,Europe,EUROPE,1529367,1810642,2143259,3285903,4719233,5506199,6223851,6553671
141,Malta,Southern,Europe,EUROPE,15077,17740,21521,24560,33008,52642,114760,199466
142,Montenegro,Southern,Europe,EUROPE,73743,73743,73743,73743,78512,71719,70999,92237
143,North,Macedonia,Southern,Europe,EUROPE,95142,109343,125665,127667,129701,130730,131311
144,Portugal,Southern,Europe,EUROPE,435782,532822,651472,771184,762825,864814,1001963,1127184
145,San,Marino,Southern,Europe,EUROPE,3310,3659,4045,4218,4880,5195,5543
146,Serbia,Southern,Europe,EUROPE,1064614,1543744,1419951,1078633,901044,797595,733091,712550
147,Slovenia,Southern,Europe,EUROPE,178077,174419,214508,217218,253786,237616,277964,315122
148,Spain,Southern,Europe,EUROPE,813588,1258176,2023886,4372449,6281193,5892847,7146130,8870527
149,Austria,Western,Europe,EUROPE,633753,764758,920045,1174101,1285706,1540486,1781046,2327064
150,Belgium,Western,Europe,EUROPE,944340,1003834,1076676,1243352,1567639,1814949,2046975,2349032
151,France,Western,Europe,EUROPE,5890023,5936326,6141350,6839877,7322210,7978076,8610719,9186757
152,Germany,Western,Europe,EUROPE,6960112,9637208,10397459,11210590,11665950,12646813,15021300,16750084
153,Liechtenstein,Western,Europe,EUROPE,10906,13311,15483,18898,22342,23799,25877,27669
154,Luxembourg,Western,Europe,EUROPE,113795,126106,139750,150618,163142,248888,298062,344309
155,Monaco,Western,Europe,EUROPE,20359,21060,21787,21312,21132,25983,26601,27106
156,Netherlands,Western,Europe,EUROPE,1194306,1397371,1584638,1735632,1850649,2024059,2425521,2956518
157,Switzerland,Western,Europe,EUROPE,1252320,1363586,1484514,1740312,2053953,2385713,2610189,2773840
158,Anguilla,Caribbean,Latin,America,and,the,Caribbean,2570,3317,4063,4684,5103
159,Antigua,and,Barbuda,Caribbean,Latin,America,and,the,Caribbean,12029,17550,23071
160,Aruba,Caribbean,Latin,America,and,the,Caribbean,14444,22274,30104,32540,34328
161,Bahamas,Caribbean,Latin,America,and,the,Caribbean,26855,31654,36454,45531,54745
